,Unnamed: 0,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
42,42,0.6097477821220539,0.7220999685633449,0.6132601981770993,0.20444932710793734,0.3891429947038999,0.9243436878396644,02-12-2021
43,43,0.6112058147210515,0.7243005344231374,0.6147256404462067,0.20335072782202693,0.39007351579571137,0.9258889134641806,02-13-2021
44,44,0.6117208411614934,0.7255580006287331,0.6184440290075395,0.17720406481735787,0.39040220732565456,0.9272740957208574,02-14-2021
45,45,0.6131498581863815,0.7290160326941213,0.6227513336209436,0.1528700906344411,0.3913142105847932,0.9310550757842956,02-15-2021
46,46,0.6154130729669149,0.7368751964790946,0.6267504844861707,0.1365558912386707,0.3927586015332766,0.941172695169706,02-16-2021
47,47,0.6185830244383672,0.7450487268154669,0.630058001383268,0.132600933809393,0.394781674752787,0.9503350186376676,02-17-2021
48,48,0.622028623863859,0.7551084564602326,0.6334408447521416,0.1297995056303213,0.3969806673826896,0.9622566705825086,02-18-2021
49,49,0.6247270722560334,0.7607670543854134,0.6359060747375558,0.12946992584454814,0.3987028258212659,0.967699901979471,02-19-2021
50,50,0.6265550534249258,0.7629676202452059,0.6375153220891454,0.1300192254875034,0.3998694492796563,0.9685570549529284,02-20-2021
51,51,0.6270845876524225,0.7632819867966049,0.6408570782915957,0.1071683603405658,0.4002073997259362,0.968248549249216,02-21-2021
52,52,0.6291737089882994,0.767054385413392,0.6437468756633866,0.0991485855534194,0.4015406836783824,0.9713837906747068,02-22-2021
53,53,0.6312773381112311,0.7752279157497642,0.6460956920106005,0.09480911837407303,0.402883226547165,0.9820232180643952,02-23-2021
54,54,0.6345706057726486,0.7796290474693492,0.6483897254692497,0.10057676462510297,0.40498500055553494,0.9842488111862728,02-24-2021
55,55,0.6382410758974879,0.7871738447029236,0.648807444994556,0.12370227959351825,1.0,0.991200045589184,02-25-2021
56,56,0.6418680226611635,0.7900031436655139,0.6525669207223124,0.12051634166437787,0.4096422354727605,0.9901780176841496,02-26-2021
57,57,0.6441239835481696,0.7912606098711097,0.6539981236860666,0.12589947816533914,0.4110819969630756,0.9886972776151124,02-27-2021
58,58,0.6448711345814866,0.7912606098711097,0.6573741191938698,0.10447679209008512,0.4115588311544017,0.9875051490618344,02-28-2021
59,59,0.6466410846021602,0.7934611757309022,0.6574973806931406,0.11650645427080472,0.41268841894744657,0.9883978244812546,03-01-2021
60,60,0.6501447151758706,0.8013203395158754,0.6625305585800276,0.10129085416094476,0.4149244472426947,0.9960378122696204,03-02-2021
61,61,0.6533799516890689,0.8050927381326627,0.6654066602296773,0.10205987366108213,0.4169891855857191,0.9972104364995612,03-03-2021
62,62,0.6577903189536984,0.8088651367494498,0.6683717840732448,0.1110134578412524,0.4198038961519944,0.996513585441958,03-04-2021
63,63,0.6608006847675489,0.8135806350204338,0.6705425560326232,0.11557264487778082,0.4217251212918042,0.9995961909682252,03-05-2021
64,64,0.6630493917610278,0.8145237346746306,0.6716587573871302,0.12348255973633618,0.42316025332395096,0.9976131779349192,03-06-2021
65,65,0.6638473200490362,0.8151524677774284,0.6742472488718149,0.10865146937654488,0.4236694937224549,0.9973985559286256,03-07-2021
66,66,0.6644856626794431,0.8154668343288274,0.6770822633550411,0.0906893710519088,0.4240768860412578,0.996915107724355,03-08-2021
67,67,0.6665747840153202,0.8176674001886199,0.6798145599222083,0.08420763526503708,0.4254101699937041,0.9972714224934716,03-09-2021
68,68,0.6701219379501948,0.8226972650110028,0.682437290712246,0.08915133205163414,0.4276739750379616,1.0,03-10-2021
69,69,0.6741333410708197,0.8258409305249921,0.6857516554704137,0.09239219994507,0.4302340654049851,0.9988945297957386,03-11-2021
70,70,0.6788048485024336,0.8274127632819868,0.6875868822373332,0.11277121669870913,0.43321543646531613,0.9942137523762478,03-12-2021
71,71,0.6824680647337458,0.8277271298333857,0.6880251453458512,0.13694040098873936,0.4355533128402652,0.9890837395634516,03-13-2021
72,72,0.6840058901615442,0.8277271298333857,0.6917024467407606,0.11908816259269432,0.436534757971927,0.9867276655442344,03-14-2021
73,73,0.6866608151925546,0.8302420622445772,0.6944278954468572,0.11689096402087334,0.4382291396614941,0.9867434913815092,03-15-2021
74,74,0.6914774004947155,0.8318138950015718,0.6975299765118366,0.1282065366657512,0.4413030998851895,0.9819603259604506,03-16-2021
75,75,0.6960038300557825,0.8346431939641622,0.6980298703699899,0.15797857731392476,0.4441918817821562,0.9796731854026156,03-17-2021
76,76,0.7005810368715408,0.8381012260295504,0.7029808739240297,0.15232079099148585,0.4471130698863006,0.9783332359921116,03-18-2021
77,77,0.7070660176849926,0.8437598239547313,0.7054187124651614,0.1808843724251579,0.4512518054886856,0.9776582813976183,03-19-2021
78,78,0.7091406312338149,0.8456460232631248,0.7069389376228334,0.18407031035429824,0.4525758305247954,0.977564244764815,03-20-2021
79,79,0.7107292339163047,0.8459603898145237,0.7099451486328245,0.1719307882449876,0.4535896818636347,0.9757094336856644,03-21-2021
80,80,0.7146826058887108,0.8478465891229173,0.7135813628613104,0.17237022795935186,0.4561127365653125,0.9728540206395684,03-22-2021
81,81,0.7201302799277514,0.8519333542911034,0.7171285548958783,0.18445482010436692,0.4595894596496426,0.971281479780196,03-23-2021
82,82,0.7293572324945414,0.8557057529078906,0.7207784648465052,0.22438890414721227,0.4654781304396134,0.9637768062033611,03-24-2021
83,83,0.7366619032765838,0.8566488525620873,0.7246885935178147,0.24817357868717385,0.4701399948150069,0.9547876828389492,03-25-2021
84,84,0.7437199416786962,0.8579063187676831,0.7273318678910643,0.2801977478714639,0.4746444576126812,0.9467512761066216,03-26-2021
85,85,0.7490515534212989,0.8597925180760767,0.7295026398504427,0.3028288931612194,0.4780471093663198,0.9421759379119892,03-27-2021
86,86,0.7511987059053948,0.8607356177302735,0.7336455957981525,0.2856907443010161,0.4794174289841117,0.9406248684291976,03-28-2021
87,87,0.7553696946836215,0.8619930839358693,0.7371927878327205,0.2886020324086789,0.4820793674308359,0.9367618862416224,03-29-2021
88,88,0.7601790260922552,0.8632505501414649,0.7411508515315242,0.2930513595166163,0.4851486981963631,0.9320562349029844,03-30-2021
89,89,0.7675199663419341,0.8657654825526564,0.7452595681738811,0.3152430650920077,0.4898337098625978,0.9258452631106656,03-31-2021
90,90,0.7762681619359191,0.8707953473750393,0.7493682848162377,0.34765174402636645,0.4954168364134664,0.9215662165451676,04-01-2021
91,91,0.7797790464031569,0.8739390128890286,0.7527922153515351,0.3462235649546828,0.4976574941668828,0.921529631748587,04-02-2021
92,92,0.7854225755674358,0.8742533794404275,0.7548465736727132,0.3724251579236474,0.5012592126217548,0.9145111132779076,04-03-2021
93,93,0.7876640286673873,0.8755108456460232,0.7596400764221296,0.3507278220269157,0.5026897151957336,0.9134039473721672,04-04-2021
94,94,0.7890712840116934,0.8755108456460232,0.7603248625291892,0.35589123867069483,0.5035878300803674,0.9115555435179992,04-05-2021
95,95,0.7933728428734124,0.8767683118516191,0.7658031513856647,0.3443010162043395,0.5063330987741196,0.9077685904900904,04-06-2021
96,96,0.7973842459940375,0.8792832442628105,0.7753901568844972,0.2973358967316672,0.5088931891411429,0.9062138528909562,04-07-2021
97,97,0.8040795897197821,0.8830556428795976,0.7767597290986161,0.3363911013457841,0.5131661790304065,0.9030302663185226,04-08-2021
98,98,0.8114713072241526,0.8868280414963847,0.7822380179550918,0.3477616039549575,0.5178835969038185,0.8989976730345342,04-09-2021
99,99,0.8161355607622391,0.8871424080477837,0.7849771623833295,0.3610546553144741,0.5208603385059812,0.8935301883742175,04-10-2021
100,100,0.8197117302712231,0.8871424080477837,0.7911402373468648,0.3386981598461961,0.5231426613829119,0.8890260895744041,04-11-2021
101,101,0.8236215788824652,0.8883998742533794,0.7952489539892216,0.3351277121669871,0.5256379393355802,0.8859184734587615,04-12-2021
102,102,0.8285324648004817,0.8887142408047783,0.8007272428456971,0.3283163965943422,0.5287720825154624,0.8802592551200468,04-13-2021
103,103,0.8381583815112763,0.890600440113172,0.8062055317021728,0.3569349079923099,0.5349153735046851,0.8710873991238111,04-14-2021
104,104,0.8455718606962288,0.8934297390757623,0.8082598900233513,0.3960999725350178,0.5396466797526018,0.8660444321065229,04-15-2021
105,105,0.8549221294529838,0.8946872052813579,0.8130533927727674,0.4282340016478989,0.5456140513314321,0.8565879744782134,04-16-2021
106,106,0.8593977817593594,0.8959446714869538,0.8192164677363025,0.4124691018950838,0.5484704270212215,0.8530168464926868,04-17-2021
107,107,0.8618060744104399,0.8956303049355548,0.8233251843786593,0.3978028014281792,0.5500074071330693,0.8497474326109937,04-18-2021
108,108,0.8655273217899708,0.8968877711411506,0.828803473235135,0.3818181818181817,0.5523823191733639,0.8471057033832634,04-19-2021
109,109,0.8706630784073353,0.8997170701037409,0.8342817620916105,0.37627025542433395,0.5556599755564611,0.8449764958291041,04-20-2021
110,110,0.8791356260472809,0.9016032694121344,0.8411296231622052,0.3851689096402088,0.5610671826969372,0.8377460493172197,04-21-2021
111,111,0.8873687952008241,0.9034894687205282,0.8431839814833837,0.4307058500411976,0.5663216177178624,0.8308908016290131,04-22-2021
112,112,0.8937957448660571,0.9050613014775228,0.8500318425539781,0.4241691842900303,0.5704233176549016,0.8257382690264041,04-23-2021
113,113,0.8969874580180912,0.9072618673373154,0.8555101314104538,0.4040098873935733,0.5724602792489167,0.8250902523727601,04-24-2021
114,114,0.8984237289365067,0.907576233888714,0.8609884202669296,0.3708871189233727,0.5733769119662235,0.8239011845154618,04-25-2021
115,115,0.9041833203972234,0.9091480666457088,0.8664667091234053,0.370282889316122,0.577052701751787,0.8195732897678445,04-26-2021
116,116,0.911081773141734,0.9116629990569004,0.8726297840869404,0.37264487778082944,0.5814553164697605,0.8152759028643599,04-27-2021
117,117,0.9187128691325068,0.9144922980194908,0.8739993563010593,0.4189508376819555,0.5863255064627237,0.8106408898461661,04-28-2021
